---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-f.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2915891
'total number of distinct words'= 46748
'popular_threshold_word': 2338
'common_threshold_l_word': 22205
'common_threshold_u_word': 24543
'rare_threshold_word': 44410
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 774|         mercy|      351|
| 775|         north|      351|
| 776|         trees|      351|
| 777|       replied|      351|
| 778|         queen|      350|
| 779|          hurt|      350|
| 780|           lie|      350|
| 781|      suddenly|      350|
| 782|       outside|      350|
| 783|        follow|      350|
| 784|         forty|      349|
| 785|         below|      349|
| 786|          jews|      349|
| 787|       indians|      348|
| 788|      interest|      348|
| 789|         serve|      348|
| 790|    particular|      348|
| 791|     gentleman|      347|
| 792|          warn|      347|
| 793|     condition|      347|
| 794|       writing|      346|
| 795|           red|      346|
| 796|          jack|      346|
| 797|        dinner|      346|
| 798|          self|      345|
| 799|       pleased|      345|
| 800|         dwell|      345|
| 801|        beside|      345|
| 802|   inhabitants|      344|
| 803|        showed|      344|
| 804|       learned|      344|
| 805|         visit|      343|
| 806|           lot|      343|
| 807|           joy|      343|
| 808|       blessed|      341|
| 809|         agree|      341|
| 810|       sitting|      340|
| 811|          stay|      340|
| 812|           led|      339|
| 813|        thighs|      339|
| 814|       prophet|      338|
| 815|         human|      337|
| 816|         moved|      337|
| 817|          drew|      337|
| 818|         sweet|      336|
| 819|   immediately|      336|
| 820|    understood|      335|
| 821|         meant|      335|
| 822|          easy|      335|
| 823|        trying|      334|
| 824|        months|      333|
| 825|       solomon|      333|
| 826|          deep|      333|
| 827|       justice|      333|
| 828|          late|      332|
| 829|     paragraph|      332|
| 830|        praise|      332|
| 831|        helmer|      332|
| 832|           yea|      332|
| 833|         fight|      331|
| 834|         built|      331|
| 835|          deal|      330|
| 836|         parts|      330|
| 837|      prophets|      330|
| 838|       reached|      329|
| 839|      assembly|      329|
| 840|        across|      329|
| 841|    wilderness|      328|
| 842|        nation|      328|
| 843|        giving|      328|
| 844|       talking|      327|
| 845|   information|      327|
| 846|            st|      326|
| 847|       covered|      326|
| 848|        civill|      326|
| 849|      contrary|      325|
| 850|      subjects|      325|
| 851|         piece|      325|
| 852|          ones|      325|
| 853|        anyone|      323|
| 854|     multitude|      323|
| 855|    tabernacle|      323|
| 856|         horse|      322|
| 857|       forward|      322|
| 858|         floor|      321|
| 859|          kill|      321|
| 860|      happened|      321|
| 861|        middle|      320|
| 862|          rise|      320|
| 863|         front|      319|
| 864|        wisdom|      319|
| 865|          cold|      318|
| 866|       therein|      317|
| 867|         write|      317|
| 868|          edna|      317|
| 869|       minutes|      316|
| 870|        chance|      316|
| 871|        doctor|      316|
| 872|         anger|      316|
| 873|        french|      315|
| 874|         ebook|      314|
| 875|         break|      314|
| 876|           org|      313|
| 877|          duty|      313|
| 878|          blue|      313|
| 879|         liked|      311|
| 880|         heavy|      311|
| 881|        talked|      311|
| 882|     wherefore|      310|
| 883|       history|      310|
| 884|     trademark|      310|
| 885|      presence|      309|
| 886|     character|      308|
| 887|     christian|      308|
| 888|          east|      307|
| 889|          seed|      307|
| 890|         hosts|      307|
| 891|    possession|      306|
| 892|       quickly|      306|
| 893|          lion|      306|
| 894|       instead|      305|
| 895|           hot|      305|
| 896|         clean|      305|
| 897|          shut|      305|
| 898|     daughters|      304|
| 899|          grew|      304|
| 900|        slowly|      304|
| 901|          week|      303|
| 902|       provide|      303|
| 903|         dress|      303|
| 904|     continued|      302|
| 905|         green|      302|
| 906|        secret|      302|
| 907|         doubt|      302|
| 908|          play|      302|
| 909|       besides|      302|
| 910|         mount|      302|
| 911|        easily|      301|
| 912|        future|      301|
| 913|         trust|      301|
| 914|    especially|      298|
| 915|        access|      298|
| 916|          fair|      297|
| 917|        tongue|      297|
| 918|        lifted|      296|
| 919|    throughout|      296|
| 920|        sought|      295|
| 921|      property|      295|
| 922|        raised|      294|
| 923| understanding|      294|
| 924|          sake|      294|
| 925|      language|      293|
| 926|        garden|      293|
| 927|        beyond|      293|
| 928|          doth|      293|
| 929|      pleasant|      293|
| 930|       beowulf|      293|
| 931|       babylon|      293|
| 932|         clear|      292|
| 933|         tears|      292|
| 934|     appointed|      292|
| 935|      believed|      291|
| 936|          rich|      291|
| 937|      whatever|      291|
| 938|          sect|      291|
| 939|        placed|      290|
| 940|        effect|      290|
| 941|          lest|      289|
| 942|      kingdome|      289|
| 943|        struck|      289|
| 944|     certainly|      287|
| 945|     religious|      287|
| 946|           hat|      287|
| 947|     offerings|      287|
| 948|         added|      286|
| 949|        joseph|      286|
| 950|        pieces|      286|
| 951|          wood|      285|
| 952|         lying|      285|
| 953|      observed|      285|
| 954|      marriage|      284|
| 955|         baker|      284|
| 956|         ghost|      283|
| 957|          iron|      283|
| 958|     disciples|      283|
| 959|          ears|      281|
| 960|         grant|      281|
| 961|        refund|      281|
| 962|      iniquity|      281|
| 963|     including|      281|
| 964|       leaving|      281|
| 965|          wide|      281|
| 966|       pharaoh|      281|
| 967|        horses|      279|
| 968|      speaking|      279|
| 969|    impossible|      278|
| 970|        spread|      278|
| 971|         heads|      277|
| 972|      greatest|      276|
| 973|      position|      275|
| 974|     afterward|      275|
| 975|        former|      275|
| 976|          sick|      275|
| 977|         wrong|      275|
| 978|       levites|      275|
| 979|    washington|      274|
| 980|          bare|      274|
| 981|      departed|      274|
| 982|       support|      273|
| 983|       promise|      273|
| 984|         youth|      273|
| 985|        caught|      272|
| 986|      doctrine|      272|
| 987|         belly|      272|
| 988|      consider|      271|
| 989|        fucked|      271|
| 990|         noise|      271|
| 991|          wilt|      271|
| 992|      algernon|      271|
| 993|      distance|      270|
| 994|   inheritance|      270|
| 995|     sacrifice|      270|
| 996|        cometh|      270|
| 997|       desired|      269|
| 998|       natural|      269|
| 999|       allowed|      268|
|1000|    experience|      268|
|1001|          duke|      268|
|1002|     generally|      268|
|1003|         watch|      267|
|1004|     satisfied|      267|
|1005|        proper|      266|
|1006|       usually|      266|
|1007|         teach|      266|
|1008|         fruit|      266|
|1009| righteousness|      266|
|1010|        appear|      265|
|1011|         chair|      265|
|1012|        kissed|      265|
|1013|       fingers|      264|
|1014|       actions|      264|
|1015|      promised|      263|
|1016|     secretary|      263|
|1017|          real|      262|
|1018|        london|      262|
|1019|        corner|      262|
|1020|        taught|      261|
|1021|          kiss|      261|
|1022|       journey|      260|
|1023|          paul|      260|
|1024|         sarah|      260|
|1025|          shew|      260|
|1026|      provided|      260|
|1027|          rank|      260|
|1028|         learn|      260|
|1029|            en|      259|
|1030|      religion|      258|
|1031|        wonder|      258|
|1032|      somewhat|      258|
|1033|    permission|      258|
|1034|        remain|      258|
|1035|          rule|      257|
|1036|       meeting|      257|
|1037|         glass|      257|
|1038|   philistines|      257|
|1039|       knowing|      257|
|1040|         tired|      257|
|1041|     afternoon|      256|
|1042|      officers|      256|
|1043|         laugh|      256|
|1044|        cecily|      256|
|1045|      families|      255|
|1046|       worship|      255|
|1047|         arose|      255|
|1048|         tribe|      255|
|1049|         lawes|      255|
|1050|        asleep|      254|
|1051|         dwelt|      254|
|1052|      remained|      254|
|1053|       ashamed|      254|
|1054|      probably|      253|
|1055|        joshua|      253|
|1056|      directly|      253|
